county_id,state,population,rural_index,pct_college_educated,median_household_income,pct_uninsured,primary_care_per_100k,pct_republican_vote,social_trust_score,prior_flu_vax_rate,covid_death_rate_100k,hesitancy_score,vaccination_rate,high_hesitancy
CTY0000,PA,25367,0.392,0.341,37125,0.18,54.2,0.364,0.411,0.404,183.3,55.37,0.44,0
CTY0001,IN,9589,0.409,0.14,91513,0.208,46.6,0.53,0.644,0.25,205.0,87.71,0.18,1
CTY0002,FL,51040,0.271,0.352,76536,0.138,54.1,0.376,0.525,0.538,255.9,59.01,0.486,0
CTY0003,GA,30700,0.438,0.342,85533,0.051,78.5,0.622,0.51,0.434,110.1,65.88,0.461,0
CTY0004,FL,149994,0.346,0.154,59576,0.18,34.3,0.543,0.693,0.545,252.6,64.81,0.384,0
CTY0005,GA,39427,0.731,0.327,46733,0.11,44.3,0.463,0.566,0.557,120.3,79.41,0.261,1
CTY0006,MI,11997,0.512,0.239,53361,0.119,69.5,0.498,0.38,0.195,248.7,88.57,0.185,1
CTY0007,KY,44233,0.799,0.271,58152,0.064,19.8,0.351,0.61,0.575,112.5,59.97,0.428,0
CTY0008,WV,130208,0.601,0.299,24989,0.02,58.0,0.789,0.688,0.591,202.7,76.77,0.341,1
CTY0009,KY,63497,0.367,0.242,46130,0.12,94.6,0.715,0.722,0.589,92.5,59.58,0.435,0
CTY0010,PA,111190,0.113,0.103,79080,0.138,55.5,0.476,0.604,0.528,279.4,49.96,0.551,0
CTY0011,NC,82039,0.314,0.291,63988,0.16,42.5,0.477,0.603,0.335,171.0,75.24,0.277,1
CTY0012,AL,47580,0.168,0.407,45733,0.139,69.1,0.209,0.877,0.501,321.0,32.94,0.643,0
CTY0013,IN,17539,0.431,0.362,41646,0.115,53.1,0.701,0.458,0.504,184.0,57.87,0.453,0
CTY0014,NC,72524,0.048,0.286,32257,0.234,34.8,0.7,0.728,0.254,181.8,80.74,0.302,1
CTY0015,PA,158613,0.3,0.265,41751,0.135,47.6,0.498,0.577,0.386,257.4,69.61,0.279,0
CTY0016,PA,63206,0.068,0.296,35974,0.097,80.3,0.441,0.619,0.453,159.5,62.25,0.373,0
CTY0017,OH,16327,0.417,0.392,61115,0.025,91.7,0.281,0.276,0.51,105.0,53.69,0.503,0
CTY0018,TN,138698,0.64,0.078,50088,0.154,31.8,0.538,0.536,0.317,144.2,86.59,0.217,1
CTY0019,IL,54429,0.146,0.432,68350,0.088,59.7,0.687,0.355,0.595,139.7,66.92,0.432,0
CTY0020,VA,59304,0.472,0.209,44917,0.093,65.2,0.676,0.395,0.288,226.4,80.33,0.263,1
CTY0021,IL,28497,0.217,0.142,35682,0.15,61.4,0.294,0.9,0.591,322.0,37.91,0.602,0
CTY0022,KY,48019,0.265,0.398,39428,0.213,69.4,0.184,0.376,0.447,223.6,41.38,0.559,0
CTY0023,NC,29259,0.11,0.429,67211,0.068,70.0,0.774,0.761,0.679,161.8,42.79,0.604,0
CTY0024,MI,28375,0.36,0.141,57185,0.033,40.5,0.424,0.659,0.51,115.5,63.93,0.4,0
CTY0025,OH,92604,0.093,0.225,41302,0.153,89.9,0.664,0.454,0.413,129.6,67.27,0.362,0
CTY0026,MO,5842,0.76,0.282,56319,0.084,48.4,0.726,0.391,0.516,171.7,87.87,0.18,1
CTY0027,GA,292091,0.443,0.289,45739,0.077,76.5,0.591,0.493,0.511,221.6,65.0,0.446,0
CTY0028,GA,9774,0.313,0.229,57923,0.173,107.6,0.497,0.582,0.315,271.7,64.22,0.398,0
CTY0029,KY,175235,0.377,0.298,49716,0.129,82.0,0.629,0.469,0.598,108.8,68.57,0.336,0
CTY0030,FL,45221,0.475,0.291,44552,0.062,82.9,0.451,0.57,0.382,40.0,37.86,0.587,0
CTY0031,IL,16144,0.881,0.355,61243,0.057,75.1,0.443,0.658,0.488,178.5,51.1,0.487,0
CTY0032,NC,71196,0.22,0.392,36701,0.084,70.0,0.72,0.58,0.541,174.0,52.34,0.547,0
CTY0033,TX,110849,0.68,0.161,67884,0.098,90.4,0.563,0.435,0.597,267.7,69.72,0.35,0
CTY0034,IL,14640,0.641,0.413,67586,0.108,50.0,0.633,0.502,0.429,120.3,72.47,0.287,1
CTY0035,AL,47898,0.478,0.325,74111,0.081,34.7,0.282,0.502,0.287,237.3,58.98,0.418,0
CTY0036,WV,117480,0.07,0.093,52696,0.113,46.2,0.687,0.547,0.478,280.2,74.0,0.386,1
CTY0037,AL,395801,0.219,0.327,65761,0.18,53.5,0.707,0.719,0.545,165.4,62.59,0.412,0
CTY0038,KY,10106,0.193,0.356,67334,0.125,27.8,0.463,0.655,0.432,290.0,67.46,0.381,0
CTY0039,MO,60593,0.484,0.05,68444,0.124,55.6,0.729,0.502,0.463,85.9,86.46,0.237,1
CTY0040,FL,515888,0.473,0.173,48412,0.139,88.6,0.592,0.626,0.545,196.5,62.66,0.39,0
CTY0041,AL,24632,0.408,0.349,22000,0.02,38.6,0.232,0.462,0.63,160.5,50.56,0.537,0
CTY0042,PA,16894,0.282,0.274,49677,0.245,92.0,0.47,0.741,0.417,226.5,64.34,0.379,0
CTY0043,FL,53778,0.323,0.351,49647,0.169,69.6,0.612,0.422,0.492,212.8,64.19,0.444,0
CTY0044,OH,44803,0.529,0.269,84262,0.115,46.8,0.772,0.354,0.751,98.5,82.76,0.32,1
CTY0045,WV,19075,0.083,0.316,33092,0.165,70.9,0.344,0.746,0.615,180.3,26.37,0.708,0
CTY0046,FL,76024,0.093,0.385,22000,0.105,66.5,0.852,0.568,0.259,218.4,54.96,0.453,0
CTY0047,IN,225081,0.66,0.301,44261,0.067,69.9,0.376,0.485,0.429,141.3,64.81,0.374,0
CTY0048,IN,104021,0.316,0.292,77715,0.159,33.6,0.754,0.511,0.324,207.1,86.4,0.211,1
CTY0049,VA,47038,0.607,0.426,73882,0.138,72.9,0.623,0.508,0.63,272.9,61.48,0.447,0
CTY0050,TX,37864,0.392,0.413,63474,0.201,71.9,0.391,0.658,0.518,102.3,63.47,0.384,0
CTY0051,MI,89006,0.413,0.293,57103,0.099,81.9,0.426,0.428,0.44,366.9,58.04,0.494,0
